"qiitaID","run_prefix"
"13722.58cfa831e4b0c9d6adf6c76c","TCGA-CV-7178-01A-21D-2317_120623_SN1222_0118_AD13T1ACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c757","TCGA-CV-7183-01A-11D-2317_120710_SN590_0166_AC0VNFACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c797","TCGA-CV-7178-10A-01D-2317_120623_SN1222_0118_AD13T1ACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c79e","TCGA-CN-6019-10A-01D-1681_120425_SN1222_0099_AC0JCEACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c792","TCGA-CV-6003-11A-01D-1681_120427_SN1120_0137_BD0T3FACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c7dd","TCGA-CV-6933-01A-11D-1911_120504_SN208_0296_AC0V09ACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c8a2","TCGA-DQ-5631-01A-01D-1868_120504_SN1222_0101_AC0UMDACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c8c8","TCGA-CV-6952-01A-11D-1911_120505_SN1120_0138_AD11NHACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c92a","TCGA-CN-6017-10A-01D-1681_120425_SN1222_0099_AC0JCEACXX_s_6_rg.sorted.filtered."
"13722.58cfa82ee4b0c9d6adf6a7cb","G23079.TCGA_CR_6482_10A_01D_2268_08.2.filtered."
"13722.58cfa830e4b0c9d6adf6c1d8","TCGA-BA-6873-10A-01D-2266-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c5a6","TCGA-CN-4737-10A-01D-2266-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6f6","TCGA-CR-5250-10A-01D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c70a","TCGA-CV-5442-11A-01D-2266-10_Illumina.filtered."
"13722.58cfa82ee4b0c9d6adf6a936","G35153.TCGA-BA-A4IH-10A-01D-A25T-08.4.filtered."
"13722.58cfa82ee4b0c9d6adf6ab86","G35153.TCGA-BA-A4IH-01A-11D-A25T-08.5.filtered."
"13722.58cfa830e4b0c9d6adf6c220","TCGA-BA-4076-10A-01D-2266-10_Illumina.filtered."
