"","beta","se","W","p_val","q_val","diff_abn","genus","species","OGUs","diff_name_flag","diff_label"
"Gemella",-0.12854740528088,0.105854903366924,-1.21437364913837,0.224605073160782,0.6349713199254,FALSE,"Gemella","Gemella","Gemella",0,""
"Anaerovorax",0.092386935685815,0.0738391769137625,1.25119129908117,0.210864691918547,0.6349713199254,FALSE,"Anaerovorax","Anaerovorax","Anaerovorax",0,""
"Roseburia",-0.117999965932094,0.0939773561359862,-1.25562125584111,0.209253321047564,0.6349713199254,FALSE,"Roseburia","Roseburia","Roseburia",0,""
"Faecalibacterium",-0.0923356691765372,0.0720802909590504,-1.28101132706296,0.200189687552416,0.6349713199254,FALSE,"Faecalibacterium","Faecalibacterium","Faecalibacterium",0,""
"Arcobacter",0.0805779008087081,0.0655384646549579,1.22947495387524,0.218893782804945,0.6349713199254,FALSE,"Arcobacter","Arcobacter","Arcobacter",0,""
"Campylobacter",-0.136924805564703,0.108114357566931,-1.26648123936671,0.205340841920661,0.6349713199254,FALSE,"Campylobacter","Campylobacter","Campylobacter",0,""
"Luteimonas",-0.131060514690748,0.108141304329627,-1.21193761720555,0.225536261175689,0.6349713199254,FALSE,"Luteimonas","Luteimonas","Luteimonas",0,""
"Alloiococcus",0.150773804354801,0.125840341488386,1.19813568980752,0.230864196618575,0.640123454260594,FALSE,"Alloiococcus","Alloiococcus","Alloiococcus",0,""
"Clostridium",0.320260931043238,0.271380524889604,1.18011759013849,0.237953449471587,0.649932556019409,FALSE,"Clostridium","Clostridium","Clostridium",0,""
"Actinobacillus",-0.0779567482416474,0.0669241315960236,-1.16485259326517,0.244078665720275,0.656858762158976,FALSE,"Actinobacillus","Actinobacillus","Actinobacillus",0,""
"Mycobacterium",-0.442646423754228,0.397966533242446,-1.11227047196092,0.266021875731993,0.666876756971983,FALSE,"Mycobacterium","Mycobacterium","Mycobacterium",0,""
"Marmoricola",-0.116131043467585,0.103957032752545,-1.11710617735713,0.263948929563707,0.666876756971983,FALSE,"Marmoricola","Marmoricola","Marmoricola",0,""
"Devosia",0.223312042668683,0.196770572499288,1.13488536335631,0.256423353319584,0.666876756971983,FALSE,"Devosia","Devosia","Devosia",0,""
"Aeromonas",-0.14507880509513,0.12970770524908,-1.11850568026419,0.263351081883194,0.666876756971983,FALSE,"Aeromonas","Aeromonas","Aeromonas",0,""
"Alishewanella",-0.0880870043288615,0.0777733036845475,-1.13261235097003,0.257377079632331,0.666876756971983,FALSE,"Alishewanella","Alishewanella","Alishewanella",0,""
"Alcaligenes",-0.127788340040327,0.117546264845602,-1.08713228964083,0.276978349503904,0.684959972421817,FALSE,"Alcaligenes","Alcaligenes","Alcaligenes",0,""
"Brachybacterium",-0.136898601825785,0.127921428935277,-1.07017724055482,0.284539536781207,0.68514125303896,FALSE,"Brachybacterium","Brachybacterium","Brachybacterium",0,""
"Eubacterium",-0.0637735763900416,0.0591324063711499,-1.07848775829891,0.280816141946636,0.68514125303896,FALSE,"Eubacterium","Eubacterium","Eubacterium",0,""
"Bifidobacterium",0.249122877554784,0.251588416478344,0.990200109535758,0.322076319030809,0.765454108865428,FALSE,"Bifidobacterium","Bifidobacterium","Bifidobacterium",0,""
"Chryseobacterium",0.193186545717031,0.198880039014078,0.971372223551083,0.331362955247151,0.777428471926008,FALSE,"Chryseobacterium","Chryseobacterium","Chryseobacterium",0,""
"Rothia",-0.151986283943023,0.16250114761561,-0.935293603602975,0.349637010800141,0.78291683993893,FALSE,"Rothia","Rothia","Rothia",0,""
"Tannerella",0.071068655774799,0.0756498843686034,0.939441697339783,0.347504013033433,0.78291683993893,FALSE,"Tannerella","Tannerella","Tannerella",0,""
"Solibacillus",0.0661062282594396,0.0727695752162693,0.908432240575455,0.36364989833229,0.78291683993893,FALSE,"Solibacillus","Solibacillus","Solibacillus",0,""
"Blautia",-0.065520472632748,0.0709125046528544,-0.923962183447016,0.355506005289112,0.78291683993893,FALSE,"Blautia","Blautia","Blautia",0,""
"Holdemania",0.0589871727354394,0.0622750727079068,0.947203594801264,0.343535043942676,0.78291683993893,FALSE,"Holdemania","Holdemania","Holdemania",0,""
"Citrobacter",0.185668513676551,0.199566880613819,0.930357347398924,0.352186094655264,0.78291683993893,FALSE,"Citrobacter","Citrobacter","Citrobacter",0,""
"Pseudomonas",0.369773243537079,0.405843641712863,0.911122426303024,0.362230871322878,0.78291683993893,FALSE,"Pseudomonas","Pseudomonas","Pseudomonas",0,""
"Erwinia",0.0807192087799297,0.0898529620797554,0.898347777430882,0.369000168460573,0.785198032887032,FALSE,"Erwinia","Erwinia","Erwinia",0,""
"Scardovia",0.0602962221518439,0.0682990220551397,0.882827020614806,0.377329738932985,0.792047548166935,FALSE,"Scardovia","Scardovia","Scardovia",0,""
"Flavonifractor",0.056747995683169,0.064759775936639,0.876284620544258,0.38087532370869,0.792047548166935,FALSE,"Flavonifractor","Flavonifractor","Flavonifractor",0,""
"Rickettsia",0.0571817087422755,0.0671762075408263,0.851219662966584,0.394647342045683,0.811465883082696,FALSE,"Rickettsia","Rickettsia","Rickettsia",0,""
"Propionimicrobium",0.0567479956831689,0.0676470913244119,0.838883011407325,0.401534961970744,0.816454422673847,FALSE,"Propionimicrobium","Propionimicrobium","Propionimicrobium",0,""
"Kocuria",-0.187248734829546,0.23636069285664,-0.79221605152054,0.428234710742558,0.833690979424341,FALSE,"Kocuria","Kocuria","Kocuria",0,""
"Phascolarctobacterium",0.0526790612806945,0.0650709606100124,0.809563295006726,0.418191210996546,0.833690979424341,FALSE,"Phascolarctobacterium","Phascolarctobacterium","Phascolarctobacterium",0,""
"Finegoldia",0.125839752597505,0.15704260132398,0.80130965442872,0.422952403096612,0.833690979424341,FALSE,"Finegoldia","Finegoldia","Finegoldia",0,""
"Klebsiella",0.350076705347645,0.441338664078901,0.793215582138663,0.427652230517962,0.833690979424341,FALSE,"Klebsiella","Klebsiella","Klebsiella",0,""
"Actinomyces",0.19426127281076,0.279758684770835,0.694388712078373,0.487438470731479,0.839917558165851,FALSE,"Actinomyces","Actinomyces","Actinomyces",0,""
"Ornithinimicrobium",-0.0505339800036248,0.0741534822585164,-0.681478178293117,0.495568969958422,0.839917558165851,FALSE,"Ornithinimicrobium","Ornithinimicrobium","Ornithinimicrobium",0,""
"Alistipes",-0.0532895678249257,0.0713171528961852,-0.747219506960663,0.454931070977026,0.839917558165851,FALSE,"Alistipes","Alistipes","Alistipes",0,""
"Lactobacillus",0.225735548435936,0.328673158448137,0.686808589730202,0.492203356135036,0.839917558165851,FALSE,"Lactobacillus","Lactobacillus","Lactobacillus",0,""
"Acetivibrio",0.0475446377209912,0.0678855578917135,0.70036454288011,0.483699673599454,0.839917558165851,FALSE,"Acetivibrio","Acetivibrio","Acetivibrio",0,""
"Selenomonas",-0.0551925500352969,0.0727198147543197,-0.758975393732262,0.447867276369148,0.839917558165851,FALSE,"Selenomonas","Selenomonas","Selenomonas",0,""
"Rhizobium",-0.264364443367118,0.359744410843556,-0.734867409745759,0.462420248198279,0.839917558165851,FALSE,"Rhizobium","Rhizobium","Rhizobium",0,""
"Eikenella",-0.0510944918940777,0.075802093388194,-0.674051198459851,0.500278764153431,0.839917558165851,FALSE,"Eikenella","Eikenella","Eikenella",0,""
"Bilophila",-0.0470593808573388,0.067651144724758,-0.695618397128417,0.486667841778846,0.839917558165851,FALSE,"Bilophila","Bilophila","Bilophila",0,""
"Cardiobacterium",0.0529678269221752,0.0785169664163714,0.67460358365464,0.499927655564842,0.839917558165851,FALSE,"Cardiobacterium","Cardiobacterium","Cardiobacterium",0,""
"Escherichia",-0.286172830768457,0.397833511255303,-0.719328117597439,0.471938775292413,0.839917558165851,FALSE,"Escherichia","Escherichia","Escherichia",0,""
"Proteus",0.0574422215261381,0.0764772510598344,0.751102069309427,0.452591230480035,0.839917558165851,FALSE,"Proteus","Proteus","Proteus",0,""
"Acinetobacter",-0.179143147538025,0.251238812067264,-0.713039303378266,0.475821436612102,0.839917558165851,FALSE,"Acinetobacter","Acinetobacter","Acinetobacter",0,""
"Thermomonas",0.070823894943964,0.0992808352477547,0.713369249636382,0.475617296157045,0.839917558165851,FALSE,"Thermomonas","Thermomonas","Thermomonas",0,""
"Akkermansia",0.0516135721234657,0.071265756323261,0.724240852638214,0.468917882042841,0.839917558165851,FALSE,"Akkermansia","Akkermansia","Akkermansia",0,""
"Pseudonocardia",-0.0453112639161695,0.0702959055199141,-0.644578991920565,0.519200052552268,0.862228511592341,FALSE,"Pseudonocardia","Pseudonocardia","Pseudonocardia",0,""
"Ethanoligenens",0.042128855309987,0.0659560254660754,0.638741570800927,0.522991064408469,0.862228511592341,FALSE,"Ethanoligenens","Ethanoligenens","Ethanoligenens",0,""
"Pantoea",0.124586338284006,0.210275042483105,0.59249227494041,0.553520992190653,0.904413764025799,FALSE,"Pantoea","Pantoea","Pantoea",0,""
"Anaerococcus",0.0749015327881388,0.130650272962788,0.573297943353494,0.566442977698777,0.917336857689169,FALSE,"Anaerococcus","Anaerococcus","Anaerococcus",0,""
"Mobiluncus",0.0394947880181726,0.0705972125408267,0.559438348863032,0.575862595440912,0.924411008470938,FALSE,"Mobiluncus","Mobiluncus","Mobiluncus",0,""
"Alloscardovia",0.0312268903422909,0.068370808538028,0.456728405148557,0.647866271458623,0.926296463414743,FALSE,"Alloscardovia","Alloscardovia","Alloscardovia",0,""
"Brevibacterium",-0.100709041599179,0.205227301843215,-0.490719512923853,0.623624843474215,0.926296463414743,FALSE,"Brevibacterium","Brevibacterium","Brevibacterium",0,""
"Propionibacterium",0.089600120745964,0.199292674781909,0.449590637709167,0.653005640043076,0.926296463414743,FALSE,"Propionibacterium","Propionibacterium","Propionibacterium",0,""
"Bacteroides",-0.0481617257961785,0.108385028239725,-0.444357736288584,0.65678396455894,0.926296463414743,FALSE,"Bacteroides","Bacteroides","Bacteroides",0,""
"Butyricimonas",0.0409965106407954,0.0760680589409622,0.538945139544228,0.589924709276434,0.926296463414743,FALSE,"Butyricimonas","Butyricimonas","Butyricimonas",0,""
"Odoribacter",0.0410633661527582,0.0791139159311788,0.51904100143999,0.603732149315478,0.926296463414743,FALSE,"Odoribacter","Odoribacter","Odoribacter",0,""
"Paludibacter",0.025354208401917,0.0632221120652602,0.401033872069087,0.68839518592571,0.926296463414743,FALSE,"Paludibacter","Paludibacter","Paludibacter",0,""
"Parabacteroides",0.0311598974222577,0.0766604566408894,0.40646636855066,0.684399963219891,0.926296463414743,FALSE,"Parabacteroides","Parabacteroides","Parabacteroides",0,""
"Adhaeribacter",0.0399310214835668,0.0752152395489936,0.53089003934577,0.595494980573004,0.926296463414743,FALSE,"Adhaeribacter","Adhaeribacter","Adhaeribacter",0,""
"Myroides",0.0417923277999985,0.0996469955666948,0.419403791979122,0.67492105327738,0.926296463414743,FALSE,"Myroides","Myroides","Myroides",0,""
"Salinicoccus",0.0313184540781464,0.0702268056356007,0.445961535551745,0.655625030851504,0.926296463414743,FALSE,"Salinicoccus","Salinicoccus","Salinicoccus",0,""
"Aerococcus",0.042762138141876,0.103473320752839,0.413267283109813,0.679410797359249,0.926296463414743,FALSE,"Aerococcus","Aerococcus","Aerococcus",0,""
"Anaerostipes",0.0312268903422909,0.068322663715021,0.457050247228953,0.647634929788904,0.926296463414743,FALSE,"Anaerostipes","Anaerostipes","Anaerostipes",0,""
"Catonella",0.0332068561991103,0.0615341259798149,0.539649433064235,0.589438818891875,0.926296463414743,FALSE,"Catonella","Catonella","Catonella",0,""
"Lachnobacterium",0.0337941021221426,0.0683226111340023,0.494625447728595,0.620864535603697,0.926296463414743,FALSE,"Lachnobacterium","Lachnobacterium","Lachnobacterium",0,""
"Oribacterium",0.0303675566590783,0.0737990348430927,0.411489889043184,0.680713353730615,0.926296463414743,FALSE,"Oribacterium","Oribacterium","Oribacterium",0,""
"Bulleidia",0.0286596785624394,0.0682460232321673,0.419946499518977,0.67452453759296,0.926296463414743,FALSE,"Bulleidia","Bulleidia","Bulleidia",0,""
"Solobacterium",0.0282187789895675,0.0611762473357439,0.461270186036401,0.64460477217226,0.926296463414743,FALSE,"Solobacterium","Solobacterium","Solobacterium",0,""
"Turicibacter",0.0312268903422909,0.0683142428954021,0.457106585958997,0.647594436731834,0.926296463414743,FALSE,"Turicibacter","Turicibacter","Turicibacter",0,""
