"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"225","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",160,1928,"Stomach Adenocarcinoma","OtherCancerType",0.954981257208766,0.788499909885976
"226","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",150,1938,"Thyroid Carcinoma","OtherCancerType",0.967144769554408,0.737080389858957
"227","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.965531179950759,0.729928074090853
"228","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",51,2037,"Uveal Melanoma","OtherCancerType",0.997926895799236,0.942852642329307
"229","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",134,9342,"Testicular Germ Cell Tumors","OtherCancerType",0.63081727337616,0.0232276375085961
"230","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",120,9356,"Thymoma","OtherCancerType",0.650530609012434,0.0192453616877766
"231","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",505,8971,"Thyroid Carcinoma","OtherCancerType",0.874114352231254,0.36381850314887
"232","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",57,9419,"Uterine Carcinosarcoma","OtherCancerType",0.601884435190005,0.00705159553806297
"233","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",174,9302,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.656944444444444,0.0266275244822831
"234","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",80,9396,"Uveal Melanoma","OtherCancerType",0.77491424177904,0.0251675700159254
"235","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",140,1948,"Bladder Urothelial Carcinoma","OtherCancerType",0.991071428571429,0.904849778973181
"236","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",91,1997,"Brain Lower Grade Glioma","OtherCancerType",0.973536140481049,0.714310755602472
"237","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",114,1974,"Breast Invasive Carcinoma","OtherCancerType",0.998310810810811,0.970144811990581
"238","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",68,2020,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.99236798679868,0.951968162515763
"239","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",131,1957,"Colon Adenocarcinoma","OtherCancerType",0.954396540427205,0.739195072573977
"240","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",69,2019,"Esophageal Carcinoma","OtherCancerType",0.980413223140496,0.724580693144851
"241","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",70,2018,"Glioblastoma Multiforme","OtherCancerType",0.954663518299882,0.789169255614076
"242","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",167,1921,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.967152777777778,0.854352775165343
"243","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",50,2038,"Kidney Chromophobe","OtherCancerType",0.99683578832515,0.900844134073432
"244","Kidney Renal Clear Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",43,2045,"Kidney Renal Clear Cell Carcinoma","OtherCancerType",0.999184339314845,0.961468815865646
"245","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",37,2051,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.956836659275684,0.264219955786462
"246","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",54,2034,"Liver Hepatocellular Carcinoma","OtherCancerType",0.992930327868852,0.802587201701571
"247","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Lung Adenocarcinoma","OtherCancerType",0.985337889979054,0.836364851706885
"248","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",49,2039,"Lung Squamous Cell Carcinoma","OtherCancerType",0.98936170212766,0.668614679978021
"249","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",489,8987,"Lung Squamous Cell Carcinoma","OtherCancerType",0.636394353888053,0.0684568005489509
"250","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",67,2021,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.971617161716172,0.634908756746355
"251","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",136,1952,"Prostate Adenocarcinoma","OtherCancerType",0.988547008547008,0.813813756339689
"252","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",60,2028,"Rectum Adenocarcinoma","OtherCancerType",0.979440789473684,0.545183236375077
"253","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",40,2048,"Sarcoma","OtherCancerType",0.998371335504886,0.908076010196449
"254","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.940594059405941,0.644909747762066
"255","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",160,1928,"Stomach Adenocarcinoma","OtherCancerType",0.954981257208766,0.788499909885976
"256","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",150,1938,"Thyroid Carcinoma","OtherCancerType",0.967144769554408,0.737080389858957
"257","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.965531179950759,0.729928074090853
"258","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",51,2037,"Uveal Melanoma","OtherCancerType",0.997926895799236,0.942852642329307
"259","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",134,9342,"Testicular Germ Cell Tumors","OtherCancerType",0.63081727337616,0.0232276375085961
"260","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",120,9356,"Thymoma","OtherCancerType",0.650530609012434,0.0192453616877766
"261","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",505,8971,"Thyroid Carcinoma","OtherCancerType",0.874114352231254,0.36381850314887
"262","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",57,9419,"Uterine Carcinosarcoma","OtherCancerType",0.601884435190005,0.00705159553806297
"263","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",174,9302,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.656944444444444,0.0266275244822831
"264","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",80,9396,"Uveal Melanoma","OtherCancerType",0.77491424177904,0.0251675700159254
"265","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",140,1948,"Bladder Urothelial Carcinoma","OtherCancerType",0.991071428571429,0.904849778973181
"266","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",91,1997,"Brain Lower Grade Glioma","OtherCancerType",0.973536140481049,0.714310755602472
"267","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",114,1974,"Breast Invasive Carcinoma","OtherCancerType",0.998310810810811,0.970144811990581
"268","Breast Invasive Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",113,1082,"SolidTissueNormal","PrimaryTumor",1,1
"269","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",131,1957,"Colon Adenocarcinoma","OtherCancerType",0.954396540427205,0.739195072573977
"270","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",69,2019,"Esophageal Carcinoma","OtherCancerType",0.980413223140496,0.724580693144851
"271","Colon Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",41,278,"SolidTissueNormal","PrimaryTumor",0.996987951807229,0.999568791857514
"272","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",167,1921,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.967152777777778,0.854352775165343
"273","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",50,2038,"Kidney Chromophobe","OtherCancerType",0.99683578832515,0.900844134073432
"274","Kidney Chromophobe","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",25,66,"SolidTissueNormal","PrimaryTumor",1,1
"275","Kidney Renal Clear Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",72,972,"SolidTissueNormal","PrimaryTumor",0.998199967272132,0.99986804421672
"276","Kidney Renal Papillary Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",32,284,"SolidTissueNormal","PrimaryTumor",0.944444444444444,0.988372093023256
"277","Liver Hepatocellular Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",50,362,"SolidTissueNormal","PrimaryTumor",1,1
"278","Lung Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",59,495,"SolidTissueNormal","PrimaryTumor",0.967806041335453,0.995521303224223
"279","Lung Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",49,489,"SolidTissueNormal","PrimaryTumor",1,1
"280","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",67,2021,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.971617161716172,0.634908756746355
"281","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",136,1952,"Prostate Adenocarcinoma","OtherCancerType",0.988547008547008,0.813813756339689
"282","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",60,2028,"Rectum Adenocarcinoma","OtherCancerType",0.979440789473684,0.545183236375077
"283","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",40,2048,"Sarcoma","OtherCancerType",0.998371335504886,0.908076010196449
"284","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.940594059405941,0.644909747762066
"285","Prostate Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",52,496,"SolidTissueNormal","PrimaryTumor",0.993243243243243,0.999283064148685
"286","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",150,1938,"Thyroid Carcinoma","OtherCancerType",0.967144769554408,0.737080389858957
"287","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.965531179950759,0.729928074090853
"288","Stomach Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",70,690,"SolidTissueNormal","PrimaryTumor",0.872785829307568,0.983666678079624
"289","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",134,9342,"Testicular Germ Cell Tumors","OtherCancerType",0.63081727337616,0.0232276375085961
"290","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",120,9356,"Thymoma","OtherCancerType",0.650530609012434,0.0192453616877766
"291","Thyroid Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",59,505,"SolidTissueNormal","PrimaryTumor",0.965718737826256,0.995496195508045
"292","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",57,9419,"Uterine Carcinosarcoma","OtherCancerType",0.601884435190005,0.00705159553806297
"293","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",174,9302,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.656944444444444,0.0266275244822831
"294","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_RNA","metaDataFinalNonzeroQC_RNA",80,9396,"Uveal Melanoma","OtherCancerType",0.77491424177904,0.0251675700159254
"295","Adrenocortical Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",79,9397,"Adrenocortical Carcinoma","OtherCancerType",0.697796011536623,0.0310619932820839
"296","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",408,9068,"Bladder Urothelial Carcinoma","OtherCancerType",0.673740356798457,0.0725841449533313
"297","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",514,8962,"Brain Lower Grade Glioma","OtherCancerType",0.699257401824366,0.109553952499586
"298","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",1082,8394,"Breast Invasive Carcinoma","OtherCancerType",0.705120049225821,0.241555075860748
"299","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",304,9172,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.675111148393591,0.0532973607602478
"300","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",36,9440,"Cholangiocarcinoma","OtherCancerType",0.746504237288136,0.00734328422075383
"301","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",278,9198,"Colon Adenocarcinoma","OtherCancerType",0.641235474700542,0.0425695605443519
"302","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",184,9292,"Esophageal Carcinoma","OtherCancerType",0.997592719444173,0.869805251567571
"303","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",155,9321,"Glioblastoma Multiforme","OtherCancerType",0.956521739130435,0.957210410977922
"304","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",66,9410,"Kidney Chromophobe","OtherCancerType",0.588530305572646,0.00876316771087841
"305","Kidney Renal Clear Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",972,8504,"Kidney Renal Clear Cell Carcinoma","OtherCancerType",0.84893398047528,0.648039674998206
"306","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",284,9192,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.687985662164757,0.0478911733909111
"307","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",362,9114,"Liver Hepatocellular Carcinoma","OtherCancerType",0.763116719499309,0.117809973642147
"308","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",495,8981,"Lung Adenocarcinoma","OtherCancerType",0.709578593069684,0.107073736364364
"309","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",489,8987,"Lung Squamous Cell Carcinoma","OtherCancerType",0.673711180439819,0.0802003129643333
"310","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",47,9429,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.615654677712669,0.00814645983726509
"311","Mesothelioma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",86,9390,"Mesothelioma","OtherCancerType",0.762357117500887,0.0186821729529509
"312","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",829,8647,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.999169920660582,0.992693162960692
"313","Pancreatic Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",178,9298,"Pancreatic Adenocarcinoma","OtherCancerType",0.671319942902373,0.0315008127609965
"314","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",178,9298,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.745090212898381,0.042354425764784
"315","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",496,8980,"Prostate Adenocarcinoma","OtherCancerType",0.718562521318646,0.10015528238411
"316","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",92,9384,"Rectum Adenocarcinoma","OtherCancerType",0.62365633839879,0.0130280903677386
"317","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",102,9374,"Skin Cutaneous Melanoma","OtherCancerType",0.691885964912281,0.0168791102209023
"318","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",690,8786,"Stomach Adenocarcinoma","OtherCancerType",0.996377269935557,0.950006890835747
"319","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",134,9342,"Testicular Germ Cell Tumors","OtherCancerType",0.732102069950036,0.0304451614308685
"320","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",120,9356,"Thymoma","OtherCancerType",0.636394234576701,0.0171011464883537
"321","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",505,8971,"Thyroid Carcinoma","OtherCancerType",0.879601123194558,0.346038281427145
"322","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",57,9419,"Uterine Carcinosarcoma","OtherCancerType",0.607673086933889,0.0656303886555197
"323","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",174,9302,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.687437965260546,0.077515910585054
"324","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFilt_RNA","metaDataFinalNonzeroQC_RNA",80,9396,"Uveal Melanoma","OtherCancerType",0.822325230660043,0.0322085944113063
