"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"42","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",155,1688,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.925502663687919,0.613414863240588
"43","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",51,1792,"Uveal Melanoma","OtherCancerType",0.979267535692117,0.760212350011178
"44","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",140,1948,"Bladder Urothelial Carcinoma","OtherCancerType",0.970482713633399,0.767374401560683
"45","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",91,1997,"Brain Lower Grade Glioma","OtherCancerType",0.930810610276387,0.378790903796327
"46","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",114,1974,"Breast Invasive Carcinoma","OtherCancerType",0.995528616852146,0.889696416793267
"47","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",68,2020,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.960478547854785,0.642445785070537
"48","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",131,1957,"Colon Adenocarcinoma","OtherCancerType",0.969204560345957,0.727498035184926
"49","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",69,2019,"Esophageal Carcinoma","OtherCancerType",0.992066115702479,0.853085106277843
"50","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",70,2018,"Glioblastoma Multiforme","OtherCancerType",0.948366784730421,0.721044496437996
"51","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",167,1921,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.962222222222222,0.847240252648261
