#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist	top_hit_sp	top_hit_genome
83-1075	kSGB_10244:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersiniaceae_unclassified|s__Yersiniaceae_bacterium_2016Iso3|t__SGB10244:0.405585	Yersiniaceae_bacterium_2016Iso3	SGB10244
84-1076	uSGB_4491:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_SGB4491|t__SGB4491:0.372583	Lachnoanaerobaculum_SGB4491	SGB4491
86-1078	uSGB_44908:Other:k__Bacteria|p__Spirochaetes|c__CFGB10318|o__OFGB10318|f__FGB10318|g__GGB31572|s__GGB31572_SGB44908|t__SGB44908:0.7027924999999999	GGB31572_SGB44908	SGB44908
63-1057	kSGB_50743:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cholerae|t__SGB50743:0.105032	Vibrio_cholerae	SGB50743
61-1055	uSGB_6012:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6012|t__SGB6012:0.339586	Fusobacterium_SGB6012	SGB6012
70-1063	uSGB_1460:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1460|t__SGB1460:0.35328	Prevotella_SGB1460	SGB1460
68-1061	kSGB_29759:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis|t__SGB29759:0.372583	Streptococcus_mitis	SGB29759
74-1067	kSGB_29468:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_Marseille_P6806|t__SGB29468:0.328965	Lachnoclostridium_sp_Marseille_P6806	SGB29468
75-1068	uSGB_5281:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_SGB5281|t__SGB5281:0.273629	Oribacterium_SGB5281	SGB5281
58-1052	uSGB_47522:Family:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__GGB39918|s__GGB39918_SGB47522|t__SGB47522:0.208588	GGB39918_SGB47522	SGB47522
71-1064	kSGB_7574:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_LF1|t__SGB7574:0.405585	Bacillus_sp_LF1	SGB7574
69-1062	uSGB_5998:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB5998|t__SGB5998:0.300994	Fusobacterium_SGB5998	SGB5998
81-1073	uSGB_5354:Other:k__Bacteria|p__Proteobacteria|c__CFGB1570|o__OFGB1570|f__FGB1570|g__GGB3952|s__GGB3952_SGB5354|t__SGB5354:0.39458433333333326	GGB3952_SGB5354	SGB5354
80-1072	kSGB_28718:Species:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium_OH741_COT_311|t__SGB28718:0.283502	Erysipelotrichaceae_bacterium_OH741_COT_311	SGB28718
76-1069	uSGB_1552:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1552|t__SGB1552:0.339586	Prevotella_SGB1552	SGB1552
90-1081	kSGB_27854:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_sp_OH1205_COT_284|t__SGB27854:0.26546	Alloprevotella_sp_OH1205_COT_284	SGB27854
92-1083	kSGB_51595:Species:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Leptolyngbyaceae|g__Leptolyngbya|s__Leptolyngbya_valderiana|t__SGB51595:0.300994	Leptolyngbya_valderiana	SGB51595
89-1080	kSGB_732:Species:k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__SGB732:0.557054909090909	Saccharomyces_cerevisiae	SGB732
87-1079	uSGB_6012:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6012|t__SGB6012:0.35328	Fusobacterium_SGB6012	SGB6012
93-1084	kSGB_1506:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium_KA00344|t__SGB1506:0.26803	Bacteroidales_bacterium_KA00344	SGB1506
85-1077	kSGB_1544:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_scopos|t__SGB1544:0.33707	Prevotella_scopos	SGB1544
91-1082	kSGB_8026:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_constellatus|t__SGB8026:0.20187100000000002	Streptococcus_constellatus	SGB8026
96-1087	kSGB_1712:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_P2_180|t__SGB1712:0.405585	Prevotella_sp_P2_180	SGB1712
98-1089	kSGB_6654:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_sp_oral_taxon_110|t__SGB6654:0.312952	Parvimonas_sp_oral_taxon_110	SGB6654
97-1088	kSGB_21554:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_376|t__SGB21554:0.339586	Prevotella_sp_oral_taxon_376	SGB21554
101-1091	uSGB_4491:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_SGB4491|t__SGB4491:0.291447	Lachnoanaerobaculum_SGB4491	SGB4491
108-1098	uSGB_48473:Other:k__Bacteria|p__Bacteroidetes|c__CFGB13228|o__OFGB13228|f__FGB13228|g__GGB36900|s__GGB36900_SGB48473|t__SGB48473:0.320287	GGB36900_SGB48473	SGB48473
