#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist	top_hit_sp	top_hit_genome
637-422	uSGB_26111:Other:k__Bacteria|p__Firmicutes|c__CFGB5942|o__OFGB5942|f__FGB5942|g__GGB17495|s__GGB17495_SGB26111|t__SGB26111:0.405585	GGB17495_SGB26111	SGB26111
641-426	uSGB_6397:Other:k__Bacteria|p__Firmicutes|c__CFGB1767|o__OFGB1767|f__FGB1767|g__GGB4620|s__GGB4620_SGB6397|t__SGB6397:0.405585	GGB4620_SGB6397	SGB6397
628-414	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.248764	Streptococcus_pneumoniae	SGB50616
635-420	kSGB_13622:Species:k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_caldus|t__SGB13622:0.4055849999999999	Acidithiobacillus_caldus	SGB13622
638-423	kSGB_27853:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_HUN102|t__SGB27853:0.295981	Prevotella_sp_HUN102	SGB27853
639-424	uSGB_18486:Other:k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB3814|o__OFGB3814|f__FGB3814|g__GGB11746|s__GGB11746_SGB18486|t__SGB18486:0.405585	GGB11746_SGB18486	SGB18486
643-428	uSGB_21079:Other:k__Bacteria|p__Firmicutes|c__CFGB4727|o__OFGB4727|f__FGB4727|g__GGB13719|s__GGB13719_SGB21079|t__SGB21079:0.405585	GGB13719_SGB21079	SGB21079
644-429	uSGB_1460:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1460|t__SGB1460:0.320287	Prevotella_SGB1460	SGB1460
642-427	uSGB_5999:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB5999|t__SGB5999:0.321665	Fusobacterium_SGB5999	SGB5999
646-430	uSGB_35296:Other:k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7355|o__OFGB7355|f__FGB7355|g__GGB23600|s__GGB23600_SGB35296|t__SGB35296:0.405585	GGB23600_SGB35296	SGB35296
556-34	kSGB_17234:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__SGB17234:0.02321218977272727	Bifidobacterium_dentium	SGB17234
647-431	kSGB_1485:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava|t__SGB1485:0.222464	Alloprevotella_rava	SGB1485
653-437	uSGB_48481:Other:k__Bacteria|p__Bacteroidetes|c__CFGB14623|o__OFGB14623|f__FGB14623|g__GGB40563|s__GGB40563_SGB48481|t__SGB48481:0.239237	GGB40563_SGB48481	SGB48481
648-432	uSGB_3607:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3607|t__SGB3607:0.2271023	Treponema_SGB3607	SGB3607
654-438	kSGB_27999:Species:k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mariniflexile|s__Mariniflexile_fucanivorans|t__SGB27999:0.405585	Mariniflexile_fucanivorans	SGB27999
652-436	kSGB_3583:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__SGB3583:0.312952	Treponema_socranskii	SGB3583
651-435	kSGB_7047:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gallinarum|t__SGB7047:0.35321318181818184	Lactobacillus_gallinarum	SGB7047
582-373	uSGB_19291:Other:k__Bacteria|p__Proteobacteria|c__CFGB4196|o__OFGB4196|f__FGB4196|g__GGB12441|s__GGB12441_SGB19291|t__SGB19291:0.0384882	GGB12441_SGB19291	SGB19291
611-39	kSGB_6674:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_tetradius|t__SGB6674:0.0361485	Anaerococcus_tetradius	SGB6674
649-433	kSGB_1411:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae|t__SGB1411:0.1641265454545455	Alloprevotella_tannerae	SGB1411
658-441	kSGB_50735:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB50735:0.194988	Escherichia_coli	SGB50735
659-442	uSGB_18414:Other:k__Bacteria|p__Proteobacteria|c__CFGB3774|o__OFGB3774|f__FGB3774|g__GGB11678|s__GGB11678_SGB18414|t__SGB18414:0.405585	GGB11678_SGB18414	SGB18414
661-444	kSGB_30667:Species:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella|s__Eikenella_corrodens|t__SGB30667:0.35328	Eikenella_corrodens	SGB30667
662-445	kSGB_2064:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_circumdentaria|t__SGB2064:0.339586	Porphyromonas_circumdentaria	SGB2064
665-448	uSGB_6835:Genus:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_SGB6835|t__SGB6835:0.276697	Solobacterium_SGB6835	SGB6835
345-15	uSGB_55025:Other:k__Bacteria|p__Proteobacteria|c__CFGB13290|o__OFGB13290|f__FGB13290|g__GGB36999|s__GGB36999_SGB55025|t__SGB55025:0.00774383	GGB36999_SGB55025	SGB55025
664-447	kSGB_3606:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_medium|t__SGB3606:0.284072	Treponema_medium	SGB3606
669-451	uSGB_1961:Other:k__Bacteria|p__Bacteroidetes|c__CFGB603|o__OFGB603|f__FGB603|g__GGB1422|s__GGB1422_SGB1961|t__SGB1961:0.479886875	GGB1422_SGB1961	SGB1961
668-450	kSGB_13940:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified|g__Gammaproteobacteria_unclassified|s__Gammaproteobacteria_bacterium_SCGC_AG_212_F23|t__SGB13940:0.405585	Gammaproteobacteria_bacterium_SCGC_AG_212_F23	SGB13940
672-454	kSGB_29015:Species:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Candidatus_Stoquefichus|s__Candidatus_Stoquefichus_massiliensis|t__SGB29015:0.405585	Candidatus_Stoquefichus_massiliensis	SGB29015
666-449	kSGB_17525:Species:k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum|t__SGB17525:0.276697	Fretibacterium_fastidiosum	SGB17525
674-456	kSGB_21553:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_820|t__SGB21553:0.339586	Prevotella_sp_oral_taxon_820	SGB21553
655-439	uSGB_48547:Other:k__Bacteria|p__Bacteroidetes|c__CFGB11330|o__OFGB11330|f__FGB11330|g__GGB33352|s__GGB33352_SGB48547|t__SGB48547:0.233808	GGB33352_SGB48547	SGB48547
676-458	kSGB_27871:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_ihumii|t__SGB27871:0.300994	Prevotella_ihumii	SGB27871
675-457	kSGB_4503:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_morbi|t__SGB4503:0.346433	Catonella_morbi	SGB4503
673-455	kSGB_22980:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_defluvii|t__SGB22980:0.287309	Acinetobacter_defluvii	SGB22980
660-443	uSGB_6012:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6012|t__SGB6012:0.295981	Fusobacterium_SGB6012	SGB6012
671-453	kSGB_27874:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Metaprevotella|s__Metaprevotella_massiliensis|t__SGB27874:0.35328	Metaprevotella_massiliensis	SGB27874
670-452	kSGB_2486:Species:k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_863|t__SGB2486:0.287309	Capnocytophaga_sp_oral_taxon_863	SGB2486
680-461	uSGB_46639:Genus:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Burkholderiales_unclassified|s__Burkholderiales_unclassified_SGB46639|t__SGB46639:0.339586	Burkholderiales_unclassified_SGB46639	SGB46639
677-459	kSGB_28151:Species:k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_antarcticum|t__SGB28151:0.405585	Flavobacterium_antarcticum	SGB28151
679-460	kSGB_21591:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_loveana|t__SGB21591:0.372583	Porphyromonas_loveana	SGB21591
650-434	uSGB_5935:Family:k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__GGB4333|s__GGB4333_SGB5935|t__SGB5935:0.05358405	GGB4333_SGB5935	SGB5935
663-446	uSGB_48490:Genus:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_SGB48490|t__SGB48490:0.247037	Prochlorococcus_SGB48490	SGB48490
681-462	kSGB_46486:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_abortus|t__SGB46486:0.0822313	Chlamydia_abortus	SGB46486
684-465	uSGB_37946:Other:k__Bacteria|p__Proteobacteria|c__CFGB3154|o__OFGB3154|f__FGB3154|g__GGB25953|s__GGB25953_SGB37946|t__SGB37946:0.405585	GGB25953_SGB37946	SGB37946
685-466	uSGB_1318:Other:k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB495|o__OFGB495|f__FGB495|g__GGB1024|s__GGB1024_SGB1318|t__SGB1318:0.320287	GGB1024_SGB1318	SGB1318
657-440	uSGB_58501:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_SGB58501|t__SGB58501:0.200342	Bacteroides_SGB58501	SGB58501
682-463	uSGB_50293:Genus:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_SGB50293|t__SGB50293:0.405585	Prochlorococcus_SGB50293	SGB50293
687-468	kSGB_4706:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_AM48_27BH|t__SGB4706:0.9549685606060605	Lachnospiraceae_bacterium_AM48_27BH	SGB4706
688-469	kSGB_10469:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_urativorans|t__SGB10469:0.405585	Psychrobacter_urativorans	SGB10469
686-467	uSGB_10399:Genus:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_SGB10399|t__SGB10399:0.346433	Acinetobacter_SGB10399	SGB10399
596-386	uSGB_6013:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6013|t__SGB6013:0.23096766666666668	Fusobacterium_SGB6013	SGB6013
696-476	uSGB_6006:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6006|t__SGB6006:0.256381	Fusobacterium_SGB6006	SGB6006
693-473	kSGB_6054:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei|t__SGB6054:0.29940272727272726	Leptotrichia_wadei	SGB6054
683-464	kSGB_10413:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_towneri|t__SGB10413:0.405585	Acinetobacter_towneri	SGB10413
699-479	uSGB_6017:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6017|t__SGB6017:0.250557	Fusobacterium_SGB6017	SGB6017
634-41	uSGB_1022:Other:k__Bacteria|p__Firmicutes|c__CFGB342|o__OFGB342|f__FGB342|g__GGB779|s__GGB779_SGB1022|t__SGB1022:0.2945598	GGB779_SGB1022	SGB1022
690-470	kSGB_10015:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Sodalis|s__Sodalis_glossinidius|t__SGB10015:0.250592	Sodalis_glossinidius	SGB10015
691-471	kSGB_9648:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae|t__SGB9648:0.24950625714285718	Haemophilus_influenzae	SGB9648
695-475	uSGB_3603:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3603|t__SGB3603:0.3342755	Treponema_SGB3603	SGB3603
694-474	kSGB_6011:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6011:0.22345046153846157	Fusobacterium_nucleatum	SGB6011
703-482	uSGB_48294:Other:k__Bacteria|p__Bacteroidetes|c__CFGB11487|o__OFGB11487|f__FGB11487|g__GGB33699|s__GGB33699_SGB48294|t__SGB48294:0.328965	GGB33699_SGB48294	SGB48294
545-33	kSGB_12377:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_stutzeri|t__SGB12377:0.149777	Pseudomonas_stutzeri	SGB12377
692-472	kSGB_21590:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_zoogleoformans|t__SGB21590:0.17026	Bacteroides_zoogleoformans	SGB21590
701-480	uSGB_57956:Genus:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_SGB57956|t__SGB57956:0.405585	Pseudoalteromonas_SGB57956	SGB57956
702-481	kSGB_27874:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Metaprevotella|s__Metaprevotella_massiliensis|t__SGB27874:0.219531	Metaprevotella_massiliensis	SGB27874
705-484	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.153758	Streptococcus_pneumoniae	SGB50616
698-478	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.207109	Streptococcus_pneumoniae	SGB50616
706-485	uSGB_17160:Genus:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17160|t__SGB17160:0.372583	Actinomyces_SGB17160	SGB17160
704-483	kSGB_1541:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_veroralis|t__SGB1541:0.23517316666666666	Prevotella_veroralis	SGB1541
697-477	kSGB_6018:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6018:0.27100199999999997	Fusobacterium_nucleatum	SGB6018
707-486	uSGB_18203:Other:k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB3658|o__OFGB3658|f__FGB3658|g__GGB11475|s__GGB11475_SGB18203|t__SGB18203:0.405585	GGB11475_SGB18203	SGB18203
709-488	kSGB_29045:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_shahii|t__SGB29045:0.372583	Leptotrichia_shahii	SGB29045
708-487	kSGB_19056:Species:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_sp_MIT_0602|t__SGB19056:0.405585	Prochlorococcus_sp_MIT_0602	SGB19056
710-489	uSGB_50174:Other:k__Bacteria|p__Bacteroidetes|c__CFGB11236|o__OFGB11236|f__FGB11236|g__GGB33224|s__GGB33224_SGB50174|t__SGB50174:0.7027924999999999	GGB33224_SGB50174	SGB50174
712-490	uSGB_19338:Genus:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_SGB19338|t__SGB19338:0.564298	Campylobacter_SGB19338	SGB19338
715-493	kSGB_27874:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Metaprevotella|s__Metaprevotella_massiliensis|t__SGB27874:0.328965	Metaprevotella_massiliensis	SGB27874
717-495	uSGB_3605:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3605|t__SGB3605:0.300994	Treponema_SGB3605	SGB3605
312-12	kSGB_16955:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955:0.009897985545851527	Cutibacterium_acnes	SGB16955
713-491	uSGB_21241:Family:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__GGB13852|s__GGB13852_SGB21241|t__SGB21241:0.372583	GGB13852_SGB21241	SGB21241
714-492	kSGB_5901:Species:k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_sp_oral_taxon_131|t__SGB5901:0.30013049999999997	Mitsuokella_sp_oral_taxon_131	SGB5901
718-496	kSGB_5438:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Candidatus_Carsonella|s__Candidatus_Carsonella_ruddii|t__SGB5438:0.405585	Candidatus_Carsonella_ruddii	SGB5438
499-299	kSGB_6624:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptoanaerobacter|s__Peptoanaerobacter_stomatis|t__SGB6624:0.02925464	Peptoanaerobacter_stomatis	SGB6624
720-498	kSGB_7295:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum|t__SGB7295:0.39720464285714285	Gemella_morbillorum	SGB7295
716-494	uSGB_2490:Family:k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB1840|s__GGB1840_SGB2490|t__SGB2490:0.291447	GGB1840_SGB2490	SGB2490
623-40	kSGB_1564:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pallens|t__SGB1564:0.02825886451612903	Prevotella_pallens	SGB1564
721-499	uSGB_58173:Other:k__Bacteria|p__Proteobacteria|c__CFGB13683|o__OFGB13683|f__FGB13683|g__GGB37642|s__GGB37642_SGB58173|t__SGB58173:0.320287	GGB37642_SGB58173	SGB58173
711-48	kSGB_56708:Species:k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_denitrificans|t__SGB56708:0.35328	Paracoccus_denitrificans	SGB56708
727-503	kSGB_33400:Species:k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_caliditerrae|t__SGB33400:0.405585	Thermus_caliditerrae	SGB33400
726-502	uSGB_44917:Other:k__Bacteria|p__Tenericutes|c__CFGB10318|o__OFGB10318|f__FGB10318|g__GGB31580|s__GGB31580_SGB44917|t__SGB44917:0.405585	GGB31580_SGB44917	SGB44917
731-507	kSGB_19110:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae|g__Borreliella|s__Borrelia_mayonii|t__SGB19110:0.405585	Borrelia_mayonii	SGB19110
719-497	kSGB_50645:Species:k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriales_unclassified|g__Candidatus_Sulcia|s__Candidatus_Sulcia_muelleri|t__SGB50645:0.372583	Candidatus_Sulcia_muelleri	SGB50645
724-500	kSGB_3606:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_medium|t__SGB3606:0.32462599999999997	Treponema_medium	SGB3606
725-501	kSGB_28835:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Buchnera|s__Buchnera_aphidicola|t__SGB28835:0.405585	Buchnera_aphidicola	SGB28835
729-505	uSGB_18796:Other:k__Bacteria|p__Actinobacteria|c__CFGB3975|o__OFGB3975|f__FGB3975|g__GGB12036|s__GGB12036_SGB18796|t__SGB18796:0.405585	GGB12036_SGB18796	SGB18796
730-506	kSGB_1464:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Prevotella_sp_oral_taxon_473|t__SGB1464:0.33932520000000005	Prevotella_sp_oral_taxon_473	SGB1464
728-504	uSGB_7297:Genus:k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_SGB7297|t__SGB7297:0.328965	Gemella_SGB7297	SGB7297
722-49	kSGB_46452:Species:k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia_abortus|t__SGB46452:0.320287	Chlamydia_abortus	SGB46452
645-42	kSGB_5934:Species:k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma_salivarium|t__SGB5934:0.02181398	Mycoplasma_salivarium	SGB5934
689-46	uSGB_47136:Genus:k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_unclassified_SGB47136|t__SGB47136:0.37258299999999994	Thaumarchaeota_unclassified_SGB47136	SGB47136
740-515	kSGB_6942:Species:k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__SGB6942:0.270747	Veillonella_parvula	SGB6942
743-518	kSGB_11290:Species:k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_erythrophlei|t__SGB11290:0.405585	Bradyrhizobium_erythrophlei	SGB11290
732-508	kSGB_47252:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_harei|t__SGB47252:0.279978	Peptoniphilus_harei	SGB47252
757-530	kSGB_21909:Species:k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_878|t__SGB21909:0.405585	Capnocytophaga_sp_oral_taxon_878	SGB21909
752-526	kSGB_6631:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava|t__SGB6631:0.23011	Johnsonella_ignava	SGB6631
747-521	uSGB_3585:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3585|t__SGB3585:0.22839369999999998	Treponema_SGB3585	SGB3585
744-519	kSGB_19315:Species:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_rectus|t__SGB19315:0.15940649999999998	Campylobacter_rectus	SGB19315
739-514	uSGB_47893:Other:k__Bacteria|p__Firmicutes|c__CFGB12345|o__OFGB12345|f__FGB12345|g__GGB35161|s__GGB35161_SGB47893|t__SGB47893:0.194988	GGB35161_SGB47893	SGB47893
738-513	uSGB_3588:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3588|t__SGB3588:0.2173195	Treponema_SGB3588	SGB3588
748-522	uSGB_6006:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6006|t__SGB6006:0.23782	Fusobacterium_SGB6006	SGB6006
754-528	kSGB_29027:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_canifelinum|t__SGB29027:0.245371	Fusobacterium_canifelinum	SGB29027
